sid,study_id,org_site_id,lon,lat
028_jardine_s004,028_jardine,swan_river_2,148.07583333333332,-42.00666666666667
028_jardine_s005,028_jardine,douglas_river_bridge,148.25583333333333,-41.781666666666666
028_jardine_s006,028_jardine,douglas_river_upstream,148.22,-41.77583333333333
028_jardine_s007,028_jardine,scamander_river,148.1625,-41.44916666666666
028_jardine_s008,028_jardine,neilson_road,146.715,-38.013333333333335
028_jardine_s009,028_jardine,denison,146.79416666666665,-38.00333333333333
028_jardine_s010,028_jardine,higgins_road,146.7575,-37.986666666666665
028_jardine_s011,028_jardine,reilly_bridge,146.69416666666666,-37.98583333333333
028_jardine_s012,028_jardine,stratford,147.07833333333335,-37.97333333333333
028_jardine_s013,028_jardine,weir_crossing,147.05583333333334,-37.950833333333335
028_jardine_s014,028_jardine,valencia_creek_road,146.98666666666668,-37.825
028_jardine_s015,028_jardine,wombat_road,146.945,-37.8175
028_jardine_s016,028_jardine,avon_turton_track,146.88,-37.721666666666664
028_jardine_s017,028_jardine,3rd_crossing,146.88583333333332,-37.711666666666666
028_jardine_s018,028_jardine,a8_ward_bridge,153.04166666666666,-28.171666666666667
028_jardine_s019,028_jardine,c5_sarabah_road,153.115,-28.094166666666666
028_jardine_s020,028_jardine,coomera_durston,153.17833333333334,-28.055833333333332
028_jardine_s021,028_jardine,upper_coomera,153.19,-28.0475
028_jardine_s022,028_jardine,c4_double_crossing,153.14166666666668,-28.036666666666665
028_jardine_s023,028_jardine,a3_cedar_creek,153.17916666666667,-27.84
028_jardine_s024,028_jardine,freshwater_creek,145.70416666666668,-16.9075
028_jardine_s025,028_jardine,mossman_river,145.36,-16.450833333333332
028_jardine_s026,028_jardine,saltwater_creek,145.35583333333332,-16.4175
028_jardine_s027,028_jardine,douglas_creek,145.29666666666668,-16.28
028_jardine_s028,028_jardine,cooper_creek,145.415,-16.166666666666664
028_jardine_s030,028_jardine,endeavour_river,145.11833333333334,-15.429166666666665
033_hette_tronquart_s001,033_hette_tronquart,ga,5.556666666666667,44.670833333333334
033_hette_tronquart_s002,033_hette_tronquart,be,5.490833333333334,44.693333333333335
033_hette_tronquart_s003,033_hette_tronquart,bo,5.585,44.70666666666667
033_hette_tronquart_s004,033_hette_tronquart,no,5.545,44.723333333333336
033_hette_tronquart_s005,033_hette_tronquart,ar,5.521666666666667,44.72666666666667
037_riva-murray_s002,037_riva-murray,id_02172305,-81.60916666666667,33.719166666666666
037_riva-murray_s003,037_riva-murray,id_3344250813538_g2,-81.59416666666667,33.74
037_riva-murray_s004,037_riva-murray,id_02172304_m2,-81.5975,33.74583333333334
037_riva-murray_s005,037_riva-murray,id_3345100813509_g1,-81.58583333333333,33.7525
037_riva-murray_s006,037_riva-murray,id_02172300_m1,-81.6025,33.75333333333334
037_riva-murray_s007,037_riva-murray,id_01312000,-74.13166666666666,43.965833333333336
037_riva-murray_s008,037_riva-murray,id_0131199010_s1,-74.36083333333333,43.975833333333334
037_riva-murray_s009,037_riva-murray,id_0131199050_f3,-74.27083333333333,43.9775
037_riva-murray_s010,037_riva-murray,id_01311990_f1,-74.33083333333333,43.97666666666667
037_riva-murray_s011,037_riva-murray,id_0131199045_ut,-74.28416666666666,43.983333333333334
037_riva-murray_s012,037_riva-murray,id_0131199021,-74.34583333333333,43.9875
037_riva-murray_s013,037_riva-murray,id_0131199022_s2,-74.34083333333334,43.98833333333334
037_riva-murray_s014,037_riva-murray,id_0131199020_st,-74.35083333333333,43.99166666666667
039_pilger_s002,039_pilger,heart_bar,-108.22916666666667,33.21083333333333
039_pilger_s003,039_pilger,middle_folk,-108.24166666666666,33.22666666666667
039_pilger_s004,039_pilger,west_forlk,-108.25416666666666,33.2275
039_pilger_s005,039_pilger,east_folk,-108.1275,33.295833333333334
039_pilger_s006,039_pilger,san_francisco,-108.89166666666667,33.3125
044_singer_s001,044_singer,reference_reach,15.011666666666667,47.9875
048_orr_s001,048_orr,alexander_creek,-114.71,49.65833333333333
048_orr_s002,048_orr,line_creek,-114.805,49.895
048_orr_s003,048_orr,fording_river,-114.8075,50.0875
052_lake_s001,052_lake,upper_pawtuxet,-71.56916666666666,41.733333333333334
052_lake_s003,052_lake,blackstone_river,-71.3975,41.899166666666666
055_angradi_s003,055_angradi,parr,-111.595,36.8725
065_bunn_s001,065_bunn,bambo_creek,145.98416666666665,-17.565833333333334
066_mantel_s001,066_mantel,tpkfs,114.17916666666667,22.4225
068_perry_s001,068_perry,ensely_creek,-139.70333333333335,63.895833333333336
068_perry_s002,068_perry,garner_creek,-139.75,63.92
068_perry_s003,068_perry,mechem_creek,-139.70416666666668,63.9575
068_perry_s004,068_perry,baker_creek,-139.6175,63.99583333333334
068_perry_s005,068_perry,swede_creek,-139.575,64.02666666666667
072_doucett_s001,072_doucett,catamaran,-66.27583333333334,46.836666666666666
072_doucett_s002,072_doucett,miramichi,-66.10583333333334,46.88
073_charles_s001,073_charles,la_roche_brook,-1.174166666666666,48.63916666666667
074_march_s001,074_march,rio_espiritu_dantos_high,-65.825,18.321666666666665
074_march_s002,074_march,rio_espiritu_santos_middle,-65.82583333333334,18.3425
074_march_s003,074_march,rio_espiritu_santos_low,-65.815,18.365000000000002
075_steffy_s001,075_steffy,12,-75.53333333333333,40.045
075_steffy_s002,075_steffy,11,-75.55583333333334,40.05083333333334
075_steffy_s003,075_steffy,7,-75.50416666666666,40.053333333333335
075_steffy_s004,075_steffy,14,-75.53666666666666,40.05416666666667
075_steffy_s005,075_steffy,15,-75.4875,40.05916666666667
075_steffy_s006,075_steffy,10,-75.52916666666667,40.06
075_steffy_s007,075_steffy,8,-75.49,40.06583333333333
075_steffy_s008,075_steffy,5,-75.47166666666666,40.0675
075_steffy_s009,075_steffy,9,-75.51583333333333,40.0675
075_steffy_s010,075_steffy,4,-75.475,40.06916666666667
075_steffy_s011,075_steffy,3,-75.46333333333334,40.075
075_steffy_s012,075_steffy,2,-75.45666666666666,40.08833333333333
077_kline_s001,077_kline,4,-134.67083333333332,56.37
078_sabo_s001,078_sabo,aravaipa,-110.63,32.844166666666666
078_sabo_s003,078_sabo,sycamore_creek,-111.54166666666667,33.69416666666667
078_sabo_s004,078_sabo,agua_fria,-112.06416666666667,34.315
078_sabo_s006,078_sabo,elder,-123.64416666666666,39.730000000000004
078_sabo_s007,078_sabo,ten_mile,-123.72083333333333,39.87416666666667
078_sabo_s008,078_sabo,cross,-73.60166666666666,41.26
078_sabo_s009,078_sabo,titicus_river,-73.65583333333333,41.3275
078_sabo_s010,078_sabo,muscoot,-73.76916666666666,41.33833333333333
078_sabo_s011,078_sabo,haviland_hollow,-73.76,41.47083333333333
078_sabo_s012,078_sabo,neversink,-74.59,41.89
078_sabo_s013,078_sabo,tremper_kill,-74.81833333333333,42.12
078_sabo_s014,078_sabo,east_branch_delaware,-74.65333333333334,42.14416666666667
078_sabo_s015,078_sabo,trout_creek,-75.27916666666667,42.17333333333333
078_sabo_s018,078_sabo,snake_cr5,-92.93333333333334,45.84
078_sabo_s019,078_sabo,kettle,-92.86416666666666,46.10583333333334
078_sabo_s022,078_sabo,st_louis_forbes,-92.59916666666666,47.3625
080_itakura_s001,080_itakura,yakugachi8,129.32666666666665,28.223333333333333
080_itakura_s002,080_itakura,yakugachi7,129.32916666666668,28.22416666666667
080_itakura_s003,080_itakura,sumiyo5,129.37083333333334,28.296666666666667
080_itakura_s004,080_itakura,sumiyo6,129.37,28.2975
080_itakura_s005,080_itakura,kawauchi1,129.435,28.298333333333336
080_itakura_s006,080_itakura,kawauchi2,129.43333333333334,28.299166666666668
080_itakura_s007,080_itakura,kawauchi3,129.43166666666667,28.304166666666667
080_itakura_s008,080_itakura,aono3,138.8625,34.649166666666666
080_itakura_s009,080_itakura,aono2,138.86333333333334,34.65
081_burdon_s001,081_burdon,springs,172.4825,-43.656666666666666
081_burdon_s002,081_burdon,cridges,172.54916666666668,-43.468333333333334
081_burdon_s003,081_burdon,shipleys,172.56583333333333,-43.46
081_burdon_s004,081_burdon,clearwater,172.58083333333335,-43.446666666666665
081_burdon_s005,081_burdon,waihikuawa,172.585,-43.43333333333333
081_burdon_s006,081_burdon,courtenay,172.63,-43.413333333333334
081_burdon_s007,081_burdon,cust,172.56333333333333,-43.346666666666664
081_burdon_s008,081_burdon,flaxton,172.60166666666666,-43.34166666666667
081_burdon_s009,081_burdon,easterbrook,172.57916666666668,-43.33083333333333
081_burdon_s010,081_burdon,southbrook,172.59166666666667,-43.32333333333333
081_burdon_s011,081_burdon,northbrook,172.61333333333334,-43.314166666666665
081_burdon_s012,081_burdon,saltwater,172.66916666666665,-43.25666666666667
082_fraley_s001,082_fraley,oka,172.79666666666668,-43.765
082_fraley_s002,082_fraley,wool,171.34083333333334,-43.68
082_fraley_s003,082_fraley,stou,171.27,-43.645833333333336
082_fraley_s004,082_fraley,wate,171.20833333333334,-43.62833333333333
082_fraley_s005,082_fraley,nbra,171.5325,-43.605
082_fraley_s006,082_fraley,mao,171.17583333333334,-43.579166666666666
082_fraley_s007,082_fraley,gsm,171.1825,-43.538333333333334
082_fraley_s008,082_fraley,sel,171.9375,-43.48583333333333
082_fraley_s009,082_fraley,otu,172.60833333333332,-43.44416666666667
082_fraley_s010,082_fraley,lila,172.65916666666666,-43.295
082_fraley_s011,082_fraley,garr,172.3475,-43.225833333333334
082_fraley_s012,082_fraley,make,172.52583333333334,-43.211666666666666
082_fraley_s013,082_fraley,five,172.14416666666668,-43.17
082_fraley_s014,082_fraley,whis,172.15416666666667,-43.16
082_fraley_s015,082_fraley,oku,172.395,-43.1475
082_fraley_s016,082_fraley,topa,172.22083333333333,-43.125
082_fraley_s017,082_fraley,duck,172.22083333333333,-43.115833333333335
082_fraley_s018,082_fraley,nath,172.45083333333332,-42.589999999999996
